Time(ms),Location(m),Speed(m/s)
55700,4891.79,77.94
55800,4899.58,77.88
55900,4907.37,77.82
56000,4915.15,77.76
56100,4922.92,77.7
56200,4930.69,77.64
56300,4938.45,77.58
56400,4946.2,77.52
56500,4953.95,77.46
56600,4961.69,77.4
56700,4969.43,77.34
56800,4977.16,77.28
56900,4984.89,77.22
57000,4992.61,77.16
57100,5000.32,77.1
57200,5008.03,77.04
57300,5015.73,76.98
57400,5023.42,76.92
57500,5031.11,76.86
57600,5038.79,76.8
57700,5046.47,76.74
57800,5054.14,76.68
57900,5061.81,76.62
58000,5069.47,76.56
58100,5077.12,76.5
58200,5084.77,76.44
58300,5092.41,76.38
58400,5100.04,76.32
58500,5107.67,76.26
58600,5115.29,76.2
58700,5122.91,76.14
58800,5130.52,76.08
58900,5138.13,76.02
59000,5145.73,75.96
59100,5153.32,75.9
59200,5160.91,75.84
59300,5168.49,75.78
59400,5176.06,75.72
59500,5183.63,75.66
59600,5191.19,75.6
59700,5198.75,75.54
59800,5206.3,75.48
59900,5213.85,75.42
60000,5221.39,75.36
60100,5228.92,75.3
60200,5236.45,75.24
60300,5243.97,75.18
60400,5251.48,75.12
60500,5258.99,75.06
60600,5266.49,75
60700,5273.99,74.94
60800,5281.48,74.88
60900,5288.97,74.82
61000,5296.45,74.76
61100,5303.92,74.7
61200,5311.39,74.64
61300,5318.85,74.58
61400,5326.3,74.52
61500,5333.75,74.46
61600,5341.19,74.4
61700,5348.63,74.34
61800,5356.06,74.28
61900,5363.49,74.22
62000,5370.91,74.16
62100,5378.32,74.1
62200,5385.73,74.04
62300,5393.13,73.98
62400,5400.52,73.92
62500,5407.91,73.86
62600,5415.29,73.8
62700,5422.67,73.74
62800,5430.04,73.68
62900,5437.41,73.62
63000,5444.77,73.56
63100,5452.12,73.5
63200,5459.47,73.44
63300,5466.81,73.38
63400,5474.14,73.32
63500,5481.47,73.26
63600,5488.79,73.2
63700,5496.11,73.14
63800,5503.42,73.08
63900,5510.73,73.02
64000,5518.03,72.96
64100,5525.32,72.9
64200,5532.61,72.84
64300,5539.89,72.78
64400,5547.16,72.72
64500,5554.43,72.66
64600,5561.69,72.6
