Time(ms),Location(m),Speed(m/s)
57300,13814.6,33.24
57400,13817.9,33.12
57500,13821.2,33
57600,13824.5,32.88
57700,13827.8,32.76
57800,13831.1,32.64
57900,13834.3,32.52
58000,13837.6,32.4
58100,13840.8,32.28
58200,13844.1,32.16
58300,13847.3,32.04
58400,13850.5,31.92
58500,13853.6,31.8
58600,13856.8,31.68
58700,13860,31.56
58800,13863.1,31.44
58900,13866.3,31.32
59000,13869.4,31.2
59100,13872.5,31.08
59200,13875.6,30.96
59300,13878.7,30.84
59400,13881.8,30.72
59500,13884.8,30.6
59600,13887.9,30.48
59700,13890.9,30.36
59800,13894,30.24
59900,13897,30.12
60000,13900,30
60100,13903,29.88
60200,13906,29.76
60300,13908.9,29.64
60400,13911.9,29.52
60500,13914.8,29.4
60600,13917.8,29.28
60700,13920.7,29.16
60800,13923.6,29.04
60900,13926.5,28.92
61000,13929.4,28.8
61100,13932.3,28.68
61200,13935.1,28.56
61300,13938,28.44
61400,13940.8,28.32
61500,13943.6,28.2
61600,13946.5,28.08
61700,13949.3,27.96
61800,13952.1,27.84
61900,13954.8,27.72
62000,13957.6,27.6
62100,13960.3,27.48
62200,13963.1,27.36
62300,13965.8,27.24
62400,13968.5,27.12
62500,13971.2,27
62600,13973.9,26.88
62700,13976.6,26.76
62800,13979.3,26.64
62900,13981.9,26.52
63000,13984.6,26.4
63100,13987.2,26.28
63200,13989.9,26.16
63300,13992.5,26.04
63400,13995.1,25.92
63500,13997.6,25.8
63600,14000.2,25.68
63700,14002.8,25.56
63800,14005.3,25.44
63900,14007.9,25.32
64000,14010.4,25.2
64100,14012.9,25.08
64200,14015.4,24.96
64300,14017.9,24.84
64400,14020.4,24.72
64500,14022.8,24.6
64600,14025.3,24.48
64700,14027.7,24.36
64800,14030.2,24.24
64900,14032.6,24.12
65000,14035,24
65100,14037.4,23.88
65200,14039.8,23.76
65300,14042.1,23.64
65400,14044.5,23.52
65500,14046.8,23.4
65600,14049.2,23.28
65700,14051.5,23.16
65800,14053.8,23.04
65900,14056.1,22.92
66000,14058.4,22.8
66100,14060.7,22.68
66200,14062.9,22.56
66300,14065.2,22.44
66400,14067.4,22.32
66500,14069.6,22.2
66600,14071.9,22.08
66700,14074.1,21.96
66800,14076.3,21.84
66900,14078.4,21.72
67000,14080.6,21.6
67100,14082.7,21.48
67200,14084.9,21.36
67300,14087,21.24
67400,14089.1,21.12
67500,14091.2,21
67600,14093.3,20.88
67700,14095.4,20.76
67800,14097.5,20.64
67900,14099.5,20.52
68000,14101.6,20.4
68100,14103.6,20.28
68200,14105.7,20.16
68300,14107.7,20.04
68400,14109.7,19.92
68500,14111.6,19.8
68600,14113.6,19.68
68700,14115.6,19.56
68800,14117.5,19.44
68900,14119.5,19.32
69000,14121.4,19.2
69100,14123.3,19.08
69200,14125.2,18.96
69300,14127.1,18.84
69400,14129,18.72
69500,14130.8,18.6
69600,14132.7,18.48
69700,14134.5,18.36
69800,14136.4,18.24
69900,14138.2,18.12
70000,14140,18
70100,14141.8,17.88
70200,14143.6,17.76
70300,14145.3,17.64
70400,14147.1,17.52
70500,14148.8,17.4
70600,14150.6,17.28
70700,14152.3,17.16
70800,14154,17.04
70900,14155.7,16.92
71000,14157.4,16.8
71100,14159.1,16.68
71200,14160.7,16.56
71300,14162.4,16.44
71400,14164,16.32
71500,14165.6,16.2
71600,14167.3,16.08
71700,14168.9,15.96
71800,14170.5,15.84
71900,14172,15.72
72000,14173.6,15.6
72100,14175.1,15.48
72200,14176.7,15.36
72300,14178.2,15.24
72400,14179.7,15.12
72500,14181.2,15
72600,14182.7,14.88
72700,14184.2,14.76
72800,14185.7,14.64
72900,14187.1,14.52
73000,14188.6,14.4
73100,14190,14.28
73200,14191.5,14.16
73300,14192.9,14.04
73400,14194.3,13.92
73500,14195.6,13.8
73600,14197,13.68
73700,14198.4,13.56
73800,14199.7,13.44
73900,14201.1,13.32
74000,14202.4,13.2
74100,14203.7,13.08
74200,14205,12.96
74300,14206.3,12.84
74400,14207.6,12.72
74500,14208.8,12.6
74600,14210.1,12.48
74700,14211.3,12.36
74800,14212.6,12.24
74900,14213.8,12.12
75000,14215,12
75100,14216.2,11.88
75200,14217.4,11.76
75300,14218.5,11.64
75400,14219.7,11.52
75500,14220.8,11.4
75600,14222,11.28
75700,14223.1,11.16
75800,14224.2,11.04
75900,14225.3,10.92
76000,14226.4,10.8
76100,14227.5,10.68
76200,14228.5,10.56
76300,14229.6,10.44
76400,14230.6,10.32
76500,14231.6,10.2
76600,14232.7,10.08
76700,14233.7,9.96
76800,14234.7,9.84
76900,14235.6,9.72
77000,14236.6,9.6
77100,14237.5,9.48
77200,14238.5,9.36
77300,14239.4,9.24
77400,14240.3,9.12
77500,14241.2,9
77600,14242.1,8.88
77700,14243,8.76
77800,14243.9,8.64
77900,14244.7,8.52
78000,14245.6,8.4
78100,14246.4,8.28
78200,14247.3,8.16
78300,14248.1,8.04
78400,14248.9,7.92
78500,14249.6,7.8
78600,14250.4,7.68
78700,14251.2,7.56
78800,14251.9,7.44
78900,14252.7,7.32
79000,14253.4,7.2
79100,14254.1,7.08
79200,14254.8,6.96
79300,14255.5,6.84
79400,14256.2,6.72
79500,14256.8,6.6
79600,14257.5,6.48
79700,14258.1,6.36
79800,14258.8,6.24
79900,14259.4,6.12
80000,14260,6
80100,14260.6,5.88
80200,14261.2,5.76
80300,14261.7,5.64
80400,14262.3,5.52
80500,14262.8,5.4
80600,14263.4,5.28
80700,14263.9,5.16
80800,14264.4,5.04
80900,14264.9,4.92
81000,14265.4,4.8
81100,14265.9,4.68
81200,14266.3,4.56
81300,14266.8,4.44
81400,14267.2,4.32
81500,14267.6,4.2
81600,14268.1,4.08
81700,14268.5,3.96
81800,14268.9,3.84
81900,14269.2,3.72
82000,14269.6,3.6
82100,14269.9,3.48
82200,14270.3,3.36
82300,14270.6,3.24
82400,14270.9,3.12
82500,14271.2,3
82600,14271.5,2.88
82700,14271.8,2.76
82800,14272.1,2.64
82900,14272.3,2.52
83000,14272.6,2.4
83100,14272.8,2.28
83200,14273.1,2.16
83300,14273.3,2.04
83400,14273.5,1.92
83500,14273.6,1.8
83600,14273.8,1.68
83700,14274,1.56
83800,14274.1,1.44
83900,14274.3,1.32
84000,14274.4,1.2
84100,14274.5,1.08
84200,14274.6,0.96
84300,14274.7,0.84
84400,14274.8,0.72
84500,14274.8,0.6
84600,14274.9,0.48
84700,14274.9,0.36
84800,14275,0.24
84900,14275,0.12
85000,14275,0
85100,14275,0
85200,14275,0
85300,14275,0
85400,14275,0
85500,14275,0
85600,14275,0
85700,14275,0
85800,14275,0
85900,14275,0
86000,14275,0
86100,14275,0
86200,14275,0
86300,14275,0
86400,14275,0
86500,14275,0
86600,14275,0
86700,14275,0
86800,14275,0
