Time(ms),Location(m),Speed(m/s)
78300,7047,90
78400,7056,90
78500,7065,90
78600,7074,90
78700,7083,90
78800,7092,90
78900,7101,90
79000,7110,90
79100,7119,90
79200,7128,90
79300,7137,90
79400,7146,90
79500,7155,90
79600,7164,90
79700,7173,90
79800,7182,90
79900,7191,90
80000,7200,90
80100,7209,90
80200,7218,90
80300,7227,90
80400,7236,90
80500,7245,90
80600,7254,90
80700,7263,90
80800,7272,90
80900,7281,90
81000,7290,90
81100,7299,90
81200,7308,90
81300,7317,90
81400,7326,90
81500,7335,90
81600,7344,90
81700,7353,90
81800,7362,90
81900,7371,90
82000,7380,90
82100,7389,90
82200,7398,90
82300,7407,90
82400,7416,90
82500,7425,90
82600,7434,90
82700,7443,90
82800,7452,90
82900,7461,90
83000,7470,90
83100,7479,90
83200,7488,90
83300,7497,90
83400,7506,90
83500,7515,90
83600,7524,90
83700,7533,90
83800,7542,90
83900,7551,90
84000,7560,90
84100,7569,90
84200,7578,90
84300,7587,90
84400,7596,90
84500,7605,90
84600,7614,90
84700,7623,90
84800,7632,90
84900,7641,90
85000,7650,90
85100,7659,90
85200,7668,90
85300,7677,90
85400,7686,90
85500,7695,90
85600,7704,90
85700,7713,90
85800,7722,90
85900,7731,90
86000,7740,90
86100,7749,90
86200,7758,90
86300,7767,90
86400,7776,90
86500,7785,90
86600,7794,90
86700,7803,90
86800,7812,90
86900,7821,90
87000,7830,90
87100,7839,90
87200,7848,90
87300,7857,90
87400,7866,90
87500,7875,90
87600,7884,90
87700,7893,90
87800,7902,90
87900,7911,90
88000,7920,90
88100,7929,90
88200,7938,90
88300,7947,90
88400,7956,90
88500,7965,90
88600,7974,90
88700,7983,90
88800,7992,90
88900,8001,90
89000,8010,90
89100,8019,90
89200,8028,90
89300,8037,90
89400,8046,90
89500,8055,90
89600,8064,90
89700,8073,90
89800,8082,90
89900,8091,90
90000,8100,90
90100,8109,90
90200,8118,90
90300,8127,90
90400,8136,90
90500,8145,90
90600,8154,90
90700,8163,90
90800,8172,90
90900,8181,90
91000,8190,90
91100,8199,90
91200,8208,90
91300,8217,90
91400,8226,90
91500,8235,90
91600,8244,90
91700,8253,90
91800,8262,90
91900,8271,90
92000,8280,90
92100,8289,90
92200,8298,90
92300,8307,90
92400,8316,90
92500,8325,90
92600,8334,90
92700,8343,90
92800,8352,90
92900,8361,90
93000,8370,90
93100,8379,90
93200,8388,90
93300,8397,90
93400,8406,90
93500,8415,90
93600,8424,90
93700,8433,90
93800,8442,90
93900,8451,90
94000,8460,90
94100,8469,90
94200,8478,90
94300,8487,90
94400,8496,90
94500,8505,90
94600,8514,90
94700,8523,90
94800,8532,90
94900,8541,90
95000,8550,90
95100,8559,90
95200,8568,90
95300,8577,90
95400,8586,90
95500,8595,90
95600,8604,90
95700,8613,90
95800,8622,90
95900,8631,90
96000,8640,90
96100,8649,90
96200,8658,90
96300,8667,90
